,data,id
0,"20대와 30대의 성인 남녀를 대상으로 한 조사 결과, 전체의 41%가 파이어족 생활을 준비하고 있다고 나타났습니다. 이는 2030 세대가 경제적으로 독립하고 조기 은퇴를 목표로 투자와 재테크에 큰 관심을 가지고 있음을 보여줍니다. 주식 투자, 절약, 예적금, 부동산 투자, 투잡 및 알바 등을 통해 재정 준비를 하고 있는 것으로 조사되었습니다. 더불어 온라인 커뮤니티와 소셜 미디어에서도 자주 언급되는 플렉스 문화와 욜로 문화를 채택하는 추세가 높아져, 미래의 부의 축적보다는 개인의 만족감, 행복, 여가 등을 더욱 중요하게 여기는 것으로 드러났습니다.",fc54f000-8d75-4c74-b9b1-d14cd322c1df
1,"<ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지> 
함께 본 뉴스
새로보기 
활동 뜸하다 했더니…아역배우 출신 20대, 시신 훼손 용의자로 ...
""아들에 '키작남' 물려주지 않으려 불임수술 생각 중입니다""
'비계 삼겹살' 이번엔 대구…""불판 닦으라고 준 줄 알았어요""
'4만원 바비큐' 논란 남원춘향제…백종원 등판 ""바로잡겠다""
""저 한동훈입니다""…""국힘에 아쉽다""던 김흥국, 전화 받더니 반...",0c5541d7-c12c-4867-8a64-16f0fd8f44eb
2," 뉴.썸렛이 전할 이야기많은 사람들이 파이어족을 비현실적으로 느끼는 이유를 짚어봤어요.미국에서 유독 '연금 백만장자'와 '파이어족'이 많이 나오는 이유에 대해 설명했어요.오해를 풀고 어떻게 생각하고 행동하면 좋을지 간단히 살펴봤어요.파이어족에 대한 오해 3가지안녕하세요. 뉴.썸렛 에디터, 준입니다. 고금리와 경기 침체로 살림살이가 팍팍해지면서 미국에서도, 우리나라에서도 '파이어족'을 원하는 사람들이 많아졌대요. 하지만 같은 마음으로 파이어족을 원해도, 파이어족에 대한 인식은",ac9f41a7-35d5-494c-828e-9c975e3ef35d
3,"이와 함께 저축 측면에서는 파이어족을 목표로 하는 많은 사람들은 본인 소득의 50~75% 정도를 저축하고 투자하는 걸 목표로 합니다. 파이어족에 빨리 도달하기 위해서는 소득을 늘리는 방법도 같이 사용하는 것이 중요한데 기존에 다니고 있는 회사에서 연봉 인상을 빠르게 이룰 수 있게 본업에 충실하는 방법이 있고, 또는 부업을 시작하는 걸 고려해볼 수 있습니다. 부업에는 대리운전, 알바와 같이 직접 몸을 써야 하는 일 뿐만 아니라 내가 잘하는 걸 크몽에 올려서 프리렌서로 추가 소득을 올리는 방법도 있겠습니다.

파이어족 목표를 위해 고려해야 할 사항",4e46b9f6-3bdf-4e5b-9ccf-f39c336af874
4,"가정하면 20년 뒤 231%의 수익률을 올릴 수 있어요. 20년 동안 물가 상승률을 고려해도 수익률이 높다는 건 부정할 수 없는데요. 중요한 건 일일이 투자에 신경 쓰지 않아도 얻을 수 있는 돈이라는 거예요.IRP나 연금저축에 세액공제 한도인 연 900만 원과 세액공제로 돌려받는 금액 119만 원을 합해 연 1,019만 원을 투자한다고 하고요. 배당률이 연 3%, 배당 성장률이 연 10%라고 가정하면요. 10년 뒤엔 투자금 2억 1,833만 원에 월 배당금 54만 원, 20년 뒤엔 투자금 9억 2,833만 원에 월 배당금 232만 원을",f005f854-28ce-4db2-b680-7f8a40f508fd
5,"2,000,000원이라면 연간 25배인 6억 원의 자산을 확보해야 하며 부동산 자산은 여기에 제외됩니다.요컨대, 가장 중요한 것은 어느 정해진 파이어족 금액을 확보하고 지속적인 현금 흐름을 유지하여 보다 안정적인 생계를 유지하는 것입니다.",636fc9a0-ed21-4e92-922c-caa5a369e3c7
6,"조기에 경제적 자립을 이룬 뒤 퇴직을 하고 자유로운 삶을 살겠다는 의미의 파이어족(Financial Independence, Retire Early)을 꿈꾸는 직장인이 많다. 경제적으로 어렵고 직업의 안정성도 보장돼 있지 않은 사회신분이다 보니 젊은 직장인들이 이런 생각을 할 수도 있을 것이다. 또, 자신들의 인생관에 관한 문제이기 때문에 그런 선택을 꼭 부정적으로만 볼 필요도 없다. 다만, 문제는, 파이어족을 꿈꾸는 젊은 직장인들이 파이어족의 삶에 대해 바르게 이해하고 철저한 준비를 해서 시작하느냐는 것이다. 파이어운동은 1990년대 미국에서 처음 등장했는데, 2008년 금융위기 이후",0824abe1-8c74-4744-991d-2c22382d3db1
7,Tags파이어족FinancialIndependenceFIRE경제적자유Previous Article애플 주식 장기 투자 전략Next Article부자 아빠 가난한 아빠의 9가지 교훈 - 경제적 자유와 파이어족을 위한 필독서 No1← Back to the blogmail마이핀플(MyFinPl) 2021Tailwind Nextjs Theme,5a1867ed-929f-48dc-bf11-5ab040647966
8,"파이어족의 목표 자산은 개인의 소비 습관과 라이프 스타일, 미래 계획 등에 따라 다양하게 달라지므로 일반적인 금액으로 결론을 내리기는 어렵습니다. 일부 사람들은 몇 억 원을 목표로 하며, 다른 사람들은 수십억 원을 목표로 할 수도 있습니다. 또한 유튜브, 블로그 등 다양한 부업을 통해 생활비를 충당하며 파이어족 생활을 이어가는 사람들도 있습니다.개인적으로 파이어족의 목표 자산은 보수적으로 계산하는 것이 중요하다고 생각합니다. 우리나라의 기대 수명이 증가하고 건강 문제나 예상치 못한 경제적 어려움이 생길 수 있기 때문입니다. 금융 투자를 통해 자산을",47af1786-82eb-4d86-b091-3e9fd1e342db
9,"6억에 4%를 곱해보면 2400만원이 나오는 걸 알 수 있습니다. 즉, 은퇴를 하고 생활자금 중에서 부족한 금액은 모아둔 내 돈의 이자로 사용한다는 의미로 이해할 수 있겠습니다.
그러나 25법칙의 결함은 인플레이션을 고려하지 않은 점에 있습니다. 이와 함께 위 계산에서 이자 세금이 계산되지 않았고, 나이가 들어서 의료 문제가 발생하여 상당한 비용이 청구될 수 있다는 점도 고려되지 않았습니다. 때문에 25 법칙은 위 결함을 고려해서 참고 사항으로 사용하시면 되겠습니다.

2) 4% 법칙",c9b52984-0a75-4e7c-bb37-951e1bd97263
